ticker,sector,aliases
DUTI,REALESTATE,DUTI|Duta Pertiwi
DVLA,FARMASI,DVLA|Darya-Varia Laboratoria
DWGL,BATUBARA,DWGL|Dwi Guna|Dwi Guna Laksana
DYAN,KONSULTASI,DYAN|Dyandra Media|Dyandra Media International
EAST,HOTEL,EAST|Eastparc Hotel
ECII,ELEKTRONIK,ECII|Electronic City|Electronic City Indonesia
EDGE,TEKNOLOGI,EDGE|Indointernet
EKAD,KIMIA,EKAD|Ekadharma International
ELIT,TEKNOLOGI,ELIT|Data Sinergitama|Data Sinergitama Jaya
ELPI,LOGISTIK,ELPI|Pelayaran Nasional|Pelayaran Nasional Ekalya Puramsr
ELSA,TAMBANG,ELSA|Elnusa
ELTY,REALESTATE,ELTY|Bakrieland Development
EMAS,EMAS,EMAS|Merdeka Gold|Merdeka Gold Resources
EMDE,REALESTATE,EMDE|Megapolitan Developments
EMTK,INTERNET,EMTK|Elang Mahkota|Elang Mahkota Teknologi
ENAK,RUMAHMAKAN,ENAK|Champ Resto|Champ Resto Indonesia
ENRG,TAMBANG,ENRG|Energi Mega|Energi Mega Persada
ENVY,TEKNOLOGI,ENVY|Envy Technologies|Envy Technologies Indonesia
ENZO,BUDIDAYA,ENZO|Morenzo Abadi|Morenzo Abadi Perkasa
EPAC,PLASTIK,EPAC|Megalestari Epack|Megalestari Epack Sentosaraya
EPMT,OBAT,EPMT|Enseval Putera|Enseval Putera Megatrading
ERAA,ELEKTRONIK,ERAA|Erajaya Swasembada
ERAL,ELEKTRONIK,ERAL|Sinar Eka|Sinar Eka Selaras
ERTX,PAKAIAN,ERTX|Eratex Djaja
ESIP,PLASTIK,ESIP|Sinergi Inti|Sinergi Inti Plastindo
ESSA,KIMIA,ESSA|Surya Esa|Surya Esa Perkasa
ESTA,HOTEL,ESTA|Esta Multi|Esta Multi Usaha
ESTI,TEKSTIL,ESTI|Ever Shine|Ever Shine Tex
ETWA,KIMIA,ETWA|Eterindo Wahanatama
EURO,PERAWATAN,EURO|Estee Gold|Estee Gold Feet
EXCL,TELEKOMUNIKASI,EXCL|Xl Axiata
FAPA,PANGAN,FAPA|Fap Agri
FAST,RUMAHMAKAN,FAST|Fast Food|Fast Food Indonesia
FASW,PLASTIK,FASW|Fajar Surya|Fajar Surya Wisesa
FILM,FILM,FILM|Md Pictures
FIMP,KONSTRUKSI,FIMP|Fimperkasa Utama
FIRE,BATUBARA,FIRE|Alfa Energi|Alfa Energi Investama
FISH,PANGAN,FISH|Fks Multi|Fks Multi Agro
FITT,HOTEL,FITT|Hotel Fitra|Hotel Fitra International
FLMC,PERAWATAN,FLMC|Falmaco Nonwoven|Falmaco Nonwoven Industri
FMII,REALESTATE,FMII|Fortune Mate|Fortune Mate Indonesia
FOLK,MULTISEKTOR,FOLK|Multi Garam|Multi Garam Utama
FOOD,MAKANAN,FOOD|Sentra Food|Sentra Food Indonesia
FORE,MINUMAN,FORE|Fore Kopi|Fore Kopi Indonesia
FORU,PERIKLANAN,FORU|Fortune Indonesia
FORZ,REALESTATE,FORZ|Forza Land|Forza Land Indonesia
FPNI,KIMIA,FPNI|Lotte Chemical|Lotte Chemical Titan
FREN,TELEKOMUNIKASI,FREN|Smartfren Telecom
FUJI,PEMBIAYAAN,FUJI|Fuji Finance|Fuji Finance Indonesia
FUTR,PERIKLANAN,FUTR|Futura Energi|Futura Energi Global
FWCT,KAYU,FWCT|Wijaya Cahaya|Wijaya Cahaya Timber
GAMA,REALESTATE,GAMA|Aksara Global|Aksara Global Development
GDST,LOGAM,GDST|Gunawan Dianjaya|Gunawan Dianjaya Steel
GDYR,BAN,GDYR|Goodyear Indonesia
GEMA,FURNITUR,GEMA|Gema Grahasarana
GEMS,BATUBARA,GEMS|Golden Energi|Golden Energi Mines
GGRM,ROKOK,GGRM|Gudang Garam
GGRP,LOGAM,GGRP|Gunung Raja|Gunung Raja Paksi
GHON,TELEKOMUNIKASI,GHON|Gihon Telekomunikasi|Gihon Telekomunikasi Indonesia
GIAA,PENERBANGAN,GIAA|Garuda Indonesia
GJTL,BAN,GJTL|Gajah Tunggal
GLOB,ELEKTRONIK,GLOB|Globe Kita|Globe Kita Terang
GLVA,ELEKTRONIK,GLVA|Galva Technologies
GMFI,PENERBANGAN,GMFI|Garuda Maintenance|Garuda Maintenance Facility Arasa
GMTD,REALESTATE,GMTD|Gowa Makassar|Gowa Makassar Tourism Development
GOLD,TELEKOMUNIKASI,GOLD|Visi Telekomunikasi|Visi Telekomunikasi Infrastruktur
GOLF,REKREASI,GOLF|Intra Golflink|Intra Golflink Resorts
GOLL,PANGAN,GOLL|Golden Plantation
GOOD,MAKANAN,GOOD|Garudafood Putra|Garudafood Putra Putri Jaya
GOTO,INTERNET,GOTO|Goto Gojek|Goto Gojek Tokopedia
GPRA,REALESTATE,GPRA|Perdana Gapura|Perdana Gapura Prima
GPSO,MESIN,GPSO|Geoprima Solusi
GRIA,REALESTATE,GRIA|Ingria Pratama|Ingria Pratama Capitalindo
GRPH,HOTEL,GRPH|Griptha Putra|Griptha Putra Persada
GRPM,LOGISTIK,GRPM|Graha Prima|Graha Prima Mentari
GSMF,INVESTASI,GSMF|Equity Development|Equity Development Investment
GTBO,BATUBARA,GTBO|Garda Tujuh|Garda Tujuh Buana
GTRA,LOGISTIK,GTRA|Grahaprima Suksesmandiri
GTSI,TAMBANG,GTSI|Gts Internasional
GULA,MAKANAN,GULA|Aman Agrindo
GUNA,PANGAN,GUNA|Gunanusa Eramandiri
GWSA,REALESTATE,GWSA|Greenwood Sejahtera
GZCO,PANGAN,GZCO|Gozco Plantations
HADE,GAS,HADE|Himalaya Energi|Himalaya Energi Perkasa
HAIS,LOGISTIK,HAIS|Hasnur Internasional|Hasnur Internasional Shipping
HAJJ,TRAVEL,HAJJ|Arsy Buana|Arsy Buana Travelindo
HALO,ALATKESEHATAN,HALO|Haloni Jane
HATM,LOGISTIK,HATM|Habco Trans|Habco Trans Maritima
HBAT,REALESTATE,HBAT|Minahasa Membangun|Minahasa Membangun Hebat
HDFA,PEMBIAYAAN,HDFA|Radana Bhaskara|Radana Bhaskara Finance
HDIT,INTERNET,HDIT|Hensel Davest|Hensel Davest Indonesia
HDTX,TEKSTIL,HDTX|Panasia Indo|Panasia Indo Resources
HEAL,KESEHATAN,HEAL|Medikaloka Hermina
HELI,PENERBANGAN,HELI|Jaya Trishindo
HERO,SUPERMARKET,HERO|Hero Supermarket
HEXA,MESINKONSTRUKSI,HEXA|Hexindo Adiperkasa
HGII,LISTRIK,HGII|Hero Global|Hero Global Investment
HILL,TAMBANG,HILL|Hillcon
HITS,TAMBANG,HITS|Humpuss Intermoda|Humpuss Intermoda Transportasi
HKMU,LOGAM,HKMU|Hk Metals|Hk Metals Utama
HMSP,ROKOK,HMSP|Hanjaya Mandala|Hanjaya Mandala Sampoerna
HOKI,MAKANAN,HOKI|Buyung Poetra|Buyung Poetra Sembada
HOME,HOTEL,HOME|Hotel Mandarine|Hotel Mandarine Regency
HOMI,REALESTATE,HOMI|Grand House|Grand House Mulia
HOPE,MESINKONSTRUKSI,HOPE|Harapan Duta|Harapan Duta Pertiwi
HOTL,HOTEL,HOTL|Saraswati Griya|Saraswati Griya Lestari
HRME,HOTEL,HRME|Menteng Heritage|Menteng Heritage Realty
HRTA,PAKAIAN,HRTA|Hartadinata Abadi
HRUM,BATUBARA,HRUM|Harum Energi
HUMI,TAMBANG,HUMI|Humpuss Maritim|Humpuss Maritim Internasional
HYGN,LINGKUNGAN,HYGN|Ecocare Indo|Ecocare Indo Pasifik
IATA,PENERBANGAN,IATA|Mnc Energi|Mnc Energi Investments
IBFN,PEMBIAYAAN,IBFN|Intan Baru|Intan Baru Prana
IBOS,MAKANAN,IBOS|Indo Boga|Indo Boga Sukses
IBST,TELEKOMUNIKASI,IBST|Inti Bangun|Inti Bangun Sejahtera
ICBP,MAKANAN,ICBP|Indofood Cbp|Indofood Cbp Sukses Makmur
ICON,KONSULTASI,ICON|Island Concepts|Island Concepts Indonesia
IDEA,BIMBEL,IDEA|Idea Indonesia|Idea Indonesia Akademi
